internal_plan_code,display_plan_name,source_filename,plan_identity_source,filename_content_mismatch,annual_max_benefit,area_of_coverage,network_label_as_shown_in_source,mapped_internal_network_name,specialist_referral_rule,maternity_waiting_period,maternity_limit,outpatient_notes,inpatient_notes,preventive_items,additional_benefits,reimbursement_notes,approvals_notes,exclusions_notes,source_confidence,extraction_notes
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,workbook_content,False,"AED 250,000",Worldwide Excluding USA and Canada,HN Standard Plus,HN Standard Plus,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with 10% co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: Hospital : Covered up to ABL with 20% Co Insurance on all OP Services - Clinics : Covered up to ABL with Nil Co Insurance; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
HN_CLASSIC_2,Classic Plan-2,MR.HUSSEIN CLASSIC 1@.xlsx,workbook_content,True,"AED 250,000",Worldwide Excluding USA and Canada,HN Standard Plus (Additional 10% Co-pay applicable on all OP Services excluding Pharmacy at NMC Royal Hosp. Sharjah),HN Standard Plus,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000/- (Where any condition develops which becomes life threatening to either the mother or the new born, the medically necessary expenses will be covered up to AED 150,000/-)","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
HN_CLASSIC_3,Classic Plan-3,MR.HUSSEIN CLASSIC 2@.xlsx,workbook_content,True,"AED 250,000",UAE+Home country,HN Standard,HN Standard,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000 /- (Where any condition develops which becomes life threatening to either the mother or the new born, the medically necessary expenses will be covered up to AED 150,000/-)","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
HN_CLASSIC_4,Classic Plan-4,MR.HUSSEIN CLASSIC 3@.xlsx,workbook_content,True,"AED 150,000",UAE+Home country,HN Basic Plus,HN Basic Plus,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.10,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 10,000","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
HN_CLASSIC_1R,Classic Plan-1R,MR.HUSSEIN CLASSIC 4@.xlsx,workbook_content,True,"AED 300,000",Worldwide Excluding USA and Canada,HN Advantage,HN Advantage,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with 10% co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.15,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: Hospital : Covered up to ABL with 20% Co Insurance on all OP Services -Clinics : Covered up to ABL with Nil Co Insurance; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective ","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 300 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
HN_PRIME_2,Prime Plan-2,MR.HUSSEIN prime 1@.xlsx,workbook_content,True,"AED 500,000",Worldwide,HN Premier,HN Premier,Direct,"Coverage of a pregnant female is extended by the insurer to provide the same benefits for a newborn child of that female for a period up to 30 days from its date of birth. This cover is provided regardless of whether the newborn is eventually enrolled as a dependent member under the insurer’s policy. Covered under the mother’s card in event of Hospitalization, up to AED.150,000 PPPY","Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.18,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 18,000 (Where any condition develops which becomes life threatening to either the mother or the new born, the medically necessary expenses will be covered up to AED 150,000/-)","Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 100/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per ","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 300 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ","Essential vaccinations and inoculations: Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered; Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18): Covered as per terms, conditions and exclusions of the program defined by DHA; Adult Pneumococcal Conjugate Vaccine: Covered as per terms, ","Diagnostic and treatment services for dental and gum treatments (Emergency cases Only). Dental emergency is any injury to your teeth or gums that can put you at a risk of permanent damage, such as Chi: Subject to 20% coinsurance; Hearing and vision aids, and vision correction by surgeries and laser (Emergency cases Only) Hearing Emergencies include Object/insect in the ear, ruptured eardrum, sudden hearing loss etc. Vision Eme: Subject to 20% coinsurance; Cancer Screening & Treatment (Breast, Ce",Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,131 exclusions extracted,high,"Extracted from TOB sheet. 41 benefit rows, 131 exclusions."
